Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 85°C@10kHz,Ripple Current 85°C@120Hz,Ripple Current 85°C@1kHz,Ripple Current 85°C@300Hz,Ripple Current 85°C@50Hz,Status,VC,Vibration resistant,Weight (g)
35,6800,0.053,,20,40,-40,85,0.24,0.07,2000,7140,150,UFW1V682MRD,Uni-Polar,Radial Lead,Standard,3450,3000,3390,3300,2550,EOL,238000,Normal,19.6
35,10000,0.052,,22,50,-40,85,0.32,0.069,2000,10500,250,UFW1V103MRD,Uni-Polar,Radial Lead,Standard,4255,3700,4181,4070,3145,EOL,350000,Normal,27.4
35,15000,,,25,50,-40,85,0.42,0.064,2000,15750,140,UFW1V153MRD,Uni-Polar,Radial Lead,Standard,,4300,,,,EOL,525000,Normal,38.8
50,2.2,,,5,11,-40,85,0.12,72.343,2000,4,6000,UFW1H2R2MDD,Uni-Polar,Radial Lead,Standard,,23,,,,EOL,110.00000000000001,Normal,0.44
50,3.3,,,5,11,-40,85,0.12,48.229,2000,5,6000,UFW1H3R3MDD,Uni-Polar,Radial Lead,Standard,,35,,,,EOL,165,Normal,0.44
50,4.7,,,5,11,-40,85,0.12,33.863,2000,7,6000,UFW1H4R7MDD,Uni-Polar,Radial Lead,Standard,,40,,,,EOL,235,Normal,0.44
50,10,,,5,11,-40,85,0.12,15.916,2000,15,6000,UFW1H100MDD,Uni-Polar,Radial Lead,Standard,,65,,,,EOL,500,Normal,0.44
50,22,,,5,11,-40,85,0.12,7.234,2000,33,6000,UFW1H220MDD,Uni-Polar,Radial Lead,Standard,,95,,,,EOL,1100,Normal,0.44
50,33,1.206,,5,11,-40,85,0.12,4.823,2000,50,6000,UFW1H330MDD,Uni-Polar,Radial Lead,Standard,240,120,188.4,162,90,EOL,1650,Normal,0.44
50,47,0.847,,6.3,11,-40,85,0.12,3.386,2000,71,4000,UFW1H470MED,Uni-Polar,Radial Lead,Standard,300,150,235.5,202.5,112.5,EOL,2350,Normal,0.59
50,100,0.707,,8,11.5,-40,85,0.12,1.592,2000,150,3000,UFW1H101MPD,Uni-Polar,Radial Lead,Standard,375,250,335,307.5,200,MP,5000,Normal,1.19
50,220,0.322,,10,12.5,-40,85,0.12,0.723,2000,330,2000,UFW1H221MPD,Uni-Polar,Radial Lead,Standard,615,410,549.4,504.3,328,MP,11000,Normal,1.49
50,330,0.214,,10,16,-40,85,0.12,0.482,2000,495,1800,UFW1H331MPD,Uni-Polar,Radial Lead,Standard,855,570,763.8,701.1,456,MP,16500,Normal,1.77
50,470,0.151,,12.5,20,-40,85,0.12,0.339,2000,705,1000,UFW1H471MHD,Uni-Polar,Radial Lead,Standard,1140,760,1018.4,934.8,608,MP,23500,Normal,3.43
50,1000,0.14,,12.5,25,-40,85,0.12,0.186,2000,1500,800,UFW1H102MHD,Uni-Polar,Radial Lead,Standard,1495,1300,1469,1430,1105,MP,50000,Normal,4.56
50,2200,0.082,,16,35.5,-40,85,0.14,0.109,2000,3300,300,UFW1H222MHD,Uni-Polar,Radial Lead,Standard,2403.5,2090,2361.7,2299,1776.5,MP,110000,Normal,11.8
50,3300,0.067,,18,35.5,-40,85,0.16,0.088,2000,4950,250,UFW1H332MHD,Uni-Polar,Radial Lead,Standard,2714,2360,2666.8,2596,2006,MP,165000,Normal,14.2
50,4700,0.055,,20,40,-40,85,0.18,0.073,2000,7050,150,UFW1H472MRD,Uni-Polar,Radial Lead,Standard,3335,2900,3277,3190,2465,EOL,235000,Normal,19.6
50,6800,0.05,,22,50,-40,85,0.22,0.066,2000,10200,250,UFW1H682MRD,Uni-Polar,Radial Lead,Standard,4025,3500,3955,3850,2975,EOL,340000,Normal,27.4
50,10000,0.05,,25,50,-40,85,0.3,0.066,2000,15000,140,UFW1H103MRD,Uni-Polar,Radial Lead,Standard,4600,4000,4520,4400,3400,EOL,500000,Normal,38.8
63,10,,,5,11,-40,85,0.1,13.263,2000,19,6000,UFW1J100MDD,Uni-Polar,Radial Lead,Standard,,70,,,,EOL,630,Normal,0.44
63,22,,,5,11,-40,85,0.1,6.029,2000,42,6000,UFW1J220MDD,Uni-Polar,Radial Lead,Standard,,100,,,,EOL,1386,Normal,0.44
63,33,1.005,,6.3,11,-40,85,0.1,4.019,2000,62,4000,UFW1J330MED,Uni-Polar,Radial Lead,Standard,280,140,219.8,189,105,EOL,2079,Normal,0.59
63,47,0.705,,6.3,11,-40,85,0.1,2.822,2000,89,4000,UFW1J470MED,Uni-Polar,Radial Lead,Standard,330,165,259.05,222.75,123.75,EOL,2961,Normal,0.59
63,100,0.589,,10,12.5,-40,85,0.1,1.326,2000,189,2000,UFW1J101MPD,Uni-Polar,Radial Lead,Standard,450,300,402,369,240,MP,6300,Normal,1.49
63,220,0.268,,10,16,-40,85,0.1,0.603,2000,416,1800,UFW1J221MPD,Uni-Polar,Radial Lead,Standard,705,470,629.8,578.1,376,MP,13860,Normal,1.77
63,330,0.179,,10,20,-40,85,0.1,0.402,2000,624,1400,UFW1J331MPD,Uni-Polar,Radial Lead,Standard,975,650,871,799.5,520,MP,20790,Normal,2.34
63,470,0.125,,12.5,20,-40,85,0.1,0.282,2000,888,1000,UFW1J471MHD,Uni-Polar,Radial Lead,Standard,1320,880,1179.2,1082.4,704,MP,29610,Normal,3.43
63,1000,0.12,,16,25,-40,85,0.1,0.159,2000,1890,400,UFW1J102MHD,Uni-Polar,Radial Lead,Standard,1495,1300,1469,1430,1105,MP,63000,Normal,8.2
63,2200,0.073,,18,35.5,-40,85,0.12,0.096,2000,4158,250,UFW1J222MHD,Uni-Polar,Radial Lead,Standard,2530,2200,2486,2420,1870,MP,138600,Normal,14.2
63,3300,0.061,,20,40,-40,85,0.14,0.08,2000,6237,150,UFW1J332MRD,Uni-Polar,Radial Lead,Standard,3105,2700,3051,2970,2295,EOL,207900,Normal,19.6
63,4700,0.051,,22,50,-40,85,0.16,0.068,2000,8883,250,UFW1J472MRD,Uni-Polar,Radial Lead,Standard,3910,3400,3842,3740,2890,EOL,296100,Normal,27.4
63,6800,0.047,,25,50,-40,85,0.2,0.062,2000,12852,140,UFW1J682MRD,Uni-Polar,Radial Lead,Standard,4025,3500,3955,3850,2975,EOL,428400,Normal,38.8
100,2.2,,,5,11,-40,85,0.08,48.229,2000,7,6000,UFW2A2R2MDD,Uni-Polar,Radial Lead,Standard,,30,,,,EOL,220.00000000000003,Normal,0.44
100,3.3,,,5,11,-40,85,0.08,32.153,2000,10,6000,UFW2A3R3MDD,Uni-Polar,Radial Lead,Standard,,40,,,,EOL,330,Normal,0.44
100,4.7,,,5,11,-40,85,0.08,22.575,2000,14,6000,UFW2A4R7MDD,Uni-Polar,Radial Lead,Standard,,45,,,,EOL,470,Normal,0.44
100,10,,,6.3,11,-40,85,0.08,10.61,2000,30,4000,UFW2A100MED,Uni-Polar,Radial Lead,Standard,,75,,,,EOL,1000,Normal,0.59
100,22,,,6.3,11,-40,85,0.08,4.823,2000,66,4000,UFW2A220MED,Uni-Polar,Radial Lead,Standard,,120,,,,EOL,2200,Normal,0.59
100,33,0.804,,8,11.5,-40,85,0.08,3.215,2000,99,3000,UFW2A330MPD,Uni-Polar,Radial Lead,Standard,320,160,251.2,216,120,MP,3300,Normal,1.19
100,47,0.564,,10,12.5,-40,85,0.08,2.258,2000,141,2000,UFW2A470MPD,Uni-Polar,Radial Lead,Standard,420,210,329.7,283.5,157.5,MP,4700,Normal,1.49
100,100,0.472,,10,20,-40,85,0.08,1.061,2000,300,1400,UFW2A101MPD,Uni-Polar,Radial Lead,Standard,525,350,469,430.5,280,MP,10000,Normal,2.34
100,220,0.214,,12.5,25,-40,85,0.08,0.482,2000,660,800,UFW2A221MHD,Uni-Polar,Radial Lead,Standard,900,600,804,738,480,MP,22000,Normal,4.56
100,330,0.143,,12.5,25,-40,85,0.08,0.322,2000,990,800,UFW2A331MHD,Uni-Polar,Radial Lead,Standard,1125,750,1005,922.5,600,MP,33000,Normal,4.56
100,470,0.1,,16,25,-40,85,0.08,0.226,2000,1410,400,UFW2A471MHD,Uni-Polar,Radial Lead,Standard,1500,1000,1340,1230,800,MP,47000,Normal,8.2
100,1000,0.1,,18,40,-40,85,0.08,0.133,2000,3000,200,UFW2A102MHD,Uni-Polar,Radial Lead,Standard,1575.5,1370,1548.1,1507,1164.5,MP,100000,Normal,17.7
100,2200,0.064,,22,50,-40,85,0.1,0.084,2000,6600,250,UFW2A222MRD,Uni-Polar,Radial Lead,Standard,2760,2400,2712,2640,2040,EOL,220000,Normal,27.4
100,3300,0.055,,25,50,-40,85,0.12,0.072,2000,9900,140,UFW2A332MRD,Uni-Polar,Radial Lead,Standard,3335,2900,3277,3190,2465,EOL,330000,Normal,38.8
