Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current,Status,Vibration resistant,Weight (g)
50,4.7,28.219,1150,8,11.5,-55,135,0.1,1000,7,3000,UBW1H4R7MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,85,MP,Normal,1.19
50,10,13.263,750,8,11.5,-55,135,0.1,1000,15,3000,UBW1H100MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,180,MP,Normal,1.19
50,22,6.029,500,8,11.5,-55,135,0.1,1000,33,3000,UBW1H220MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,250,MP,Normal,1.19
50,33,4.019,450,8,11.5,-55,135,0.1,1000,50,3000,UBW1H330MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,300,MP,Normal,1.19
50,47,2.822,350,8,11.5,-55,135,0.1,1000,71,3000,UBW1H470MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,440,MP,Normal,1.19
50,100,1.326,180,10,12.5,-55,135,0.1,2000,150,2000,UBW1H101MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,555,MP,Normal,1.49
50,220,0.603,98,10,20,-55,135,0.1,2000,330,1400,UBW1H221MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,930,MP,Normal,2.34
50,330,0.402,70,12.5,20,-55,135,0.1,3000,495,1000,UBW1H331MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1330,MP,Normal,3.43
50,470,0.282,55,12.5,25,-55,135,0.1,3000,705,800,UBW1H471MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1650,MP,Normal,4.56
50,1000,0.133,31,16,30.5,-55,135,0.1,3000,1500,300,UBW1H102MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2430,MP,Normal,9.6
63,22,6.029,2000,8,11.5,-55,135,0.1,1000,42,3000,UBW1J220MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,130,MP,Normal,1.19
63,33,4.019,1500,8,11.5,-55,135,0.1,1000,62,3000,UBW1J330MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,150,MP,Normal,1.19
63,47,2.822,590,10,12.5,-55,135,0.1,2000,89,2000,UBW1J470MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,530,MP,Normal,1.49
63,100,1.326,410,10,16,-55,135,0.1,2000,189,1800,UBW1J101MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,690,MP,Normal,1.77
63,220,0.603,160,12.5,20,-55,135,0.1,3000,416,1000,UBW1J221MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1050,MP,Normal,3.43
63,330,0.402,120,12.5,25,-55,135,0.1,3000,624,800,UBW1J331MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1290,MP,Normal,4.56
63,470,0.282,97,12.5,30.5,-55,135,0.1,3000,888,600,UBW1J471MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1460,MP,Normal,6.01
63,1000,0.133,55,16,30.5,-55,135,0.1,3000,1890,300,UBW1J102MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1900,MP,Normal,9.6
80,22,4.823,1500,8,11.5,-55,135,0.08,1000,53,3000,UBW1K220MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,150,MP,Normal,1.19
80,33,3.215,800,10,12.5,-55,135,0.08,2000,79,2000,UBW1K330MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,480,MP,Normal,1.49
80,47,2.258,800,10,12.5,-55,135,0.08,2000,113,2000,UBW1K470MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,480,MP,Normal,1.49
80,100,1.061,390,10,20,-55,135,0.08,2000,240,1400,UBW1K101MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,790,MP,Normal,2.34
80,220,0.482,180,12.5,25,-55,135,0.08,3000,528,800,UBW1K221MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1240,MP,Normal,4.56
80,330,0.322,160,12.5,30.5,-55,135,0.08,3000,792,600,UBW1K331MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1390,MP,Normal,6.01
80,470,0.226,110,16,25,-55,135,0.08,3000,1128,400,UBW1K471MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1500,MP,Normal,8.2
100,10,10.61,1500,8,11.5,-55,135,0.08,1000,30,3000,UBW2A100MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,150,MP,Normal,1.19
100,22,4.823,800,10,12.5,-55,135,0.08,2000,66,2000,UBW2A220MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,480,MP,Normal,1.49
100,33,3.215,800,10,12.5,-55,135,0.08,2000,99,2000,UBW2A330MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,480,MP,Normal,1.49
100,47,2.258,550,10,16,-55,135,0.08,2000,141,1800,UBW2A470MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,630,MP,Normal,1.77
100,100,1.061,250,12.5,20,-55,135,0.08,3000,300,1000,UBW2A101MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,990,MP,Normal,3.43
100,220,0.482,110,16,25,-55,135,0.08,3000,660,400,UBW2A221MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1500,MP,Normal,8.2
100,330,0.322,79,16,30.5,-55,135,0.08,3000,990,300,UBW2A331MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1790,MP,Normal,9.6
