Voltage,Capacitance,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance,Leakage Current,Part Number,Ripple Current,Surge Voltage
16,2200,13,25,16,0.027,352.0,ETA228M016AL4(1),2230,20
16,2700,13,30,16,0.024,432.0,ETA278M016AL8(1),2650,20
16,2700,16,20,16,0.027,432.0,ETA278M016AM5(1),2530,20
16,3300,13,35,16,0.02,528.0,ETA338M016AL6(1),2880,20
16,3900,13,40,16,0.017,624.0,ETA398M016AL7(1),3350,20
16,3900,16,25,16,0.021,624.0,ETA398M016AM7(1),2930,20
16,3900,18,20,16,0.026,624.0,ETA398M016AN4(1),2860,20
16,4700,16,32,16,0.017,752.0,ETA478M016AM2(1),3450,20
16,4700,18,25,16,0.019,752.0,ETA478M016AN5(1),3140,20
16,5600,16,36,16,0.015,896.0,ETA568M016AM3(1),3610,20
16,5600,18,32,16,0.015,896.0,ETA568M016AN1(1),4170,20
16,6800,16,40,16,0.013,1088.0,ETA688M016AM4(1),4080,20
16,8200,18,36,16,0.014,1312.0,ETA828M016AN2(1),4220,20
25,47,5,11,14,0.58,11.8,ETA476M025AC3(1),210,32
25,100,6.3,11,14,0.22,25.0,ETA107M025AE3(1),340,32
25,220,8,11,14,0.13,55.0,ETA227M025AG3(1),640,32
25,330,8,15,14,0.087,82.5,ETA337M025AG4(1),840,32
25,330,10,12.5,14,0.08,82.5,ETA337M025AH9(1),865,32
25,470,8,20,14,0.069,117.5,ETA477M025AG6(1),1050,32
25,470,10,15,14,0.06,117.5,ETA477M025AH2(1),1210,32
25,680,10,20,14,0.046,170.0,ETA687M025AH4(1),1400,32
25,680,13,16,14,0.049,170.0,ETA687M025AL2(1),1450,32
25,820,10,25,14,0.042,205.0,ETA827M025AH5(1),1650,32
25,1000,10,30,14,0.031,250.0,ETA108M025AH6(1),1910,32
25,1000,13,20,14,0.035,250.0,ETA108M025AL3(1),1900,32
25,1500,13,25,14,0.027,375.0,ETA158M025AL4(1),2230,32
25,1800,13,30,14,0.024,450.0,ETA188M025AL8(1),2650,32
25,1800,16,20,14,0.027,450.0,ETA188M025AM5(1),2530,32
25,2200,13,35,14,0.02,550.0,ETA228M025AL6(1),2880,32
25,2200,18,20,14,0.026,550.0,ETA228M025AN4(1),2860,32
25,2700,13,40,14,0.017,675.0,ETA278M025AL7(1),3350,32
25,2700,16,25,14,0.021,675.0,ETA278M025AM7(1),2930,32
25,3300,16,32,14,0.017,825.0,ETA338M025AM2(1),3450,32
25,3300,18,25,14,0.019,825.0,ETA338M025AN5(1),3140,32
25,3900,16,36,14,0.015,975.0,ETA398M025AM3(1),3610,32
25,3900,18,32,14,0.015,975.0,ETA398M025AN1(1),4170,32
25,4700,16,40,14,0.013,1175.0,ETA478M025AM4(1),4080,32
25,4700,18,36,14,0.014,1175.0,ETA478M025AN2(1),4220,32
25,5600,18,40,14,0.012,1400.0,ETA568M025AN3(1),4280,32
35,33,5,11,12,0.58,11.6,ETA336M035AC3(1),210,44
35,56,6.3,11,12,0.22,19.6,ETA566M035AE3(1),340,44
35,150,8,11,12,0.13,52.5,ETA157M035AG3(1),640,44
35,220,8,15,12,0.087,77.0,ETA227M035AG4(1),840,44
35,220,10,12.5,12,0.08,77.0,ETA227M035AH9(1),865,44
35,270,8,20,12,0.069,94.5,ETA277M035AG6(1),1050,44
35,330,10,15,12,0.06,115.5,ETA337M035AH2(1),1210,44
35,470,10,20,12,0.046,164.5,ETA477M035AH4(1),1400,44
35,470,13,16,12,0.049,164.5,ETA477M035AL2(1),1450,44
35,560,10,25,12,0.042,196.0,ETA567M035AH5(1),1650,44
35,680,10,30,12,0.031,238.0,ETA687M035AH6(1),1910,44
35,680,13,20,12,0.035,238.0,ETA687M035AL3(1),1900,44
35,1000,13,25,12,0.027,350.0,ETA108M035AL4(1),2230,44
35,1200,13,30,12,0.024,420.0,ETA128M035AL8(1),2650,44
35,1200,16,20,12,0.027,420.0,ETA128M035AM5(1),2530,44
35,1500,13,35,12,0.02,525.0,ETA158M035AL6(1),2880,44
35,1800,13,40,12,0.017,630.0,ETA188M035AL7(1),3350,44
35,1800,16,25,12,0.021,630.0,ETA188M035AM7(1),2930,44
35,1800,18,20,12,0.026,630.0,ETA188M035AN4(1),2860,44
35,2200,16,32,12,0.017,770.0,ETA228M035AM2(1),3450,44
35,2200,18,25,12,0.019,770.0,ETA228M035AN5(1),3140,44
35,2700,16,36,12,0.015,945.0,ETA278M035AM3(1),3610,44
35,2700,18,32,12,0.015,945.0,ETA278M035AN1(1),4170,44
35,3300,16,40,12,0.013,1155.0,ETA338M035AM4(1),4080,44
35,3300,18,36,12,0.014,1155.0,ETA338M035AN2(1),4220,44
35,3900,18,40,12,0.012,1365.0,ETA398M035AN3(1),4280,44
