Voltage,Capacitance,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Leakage Current,Part Number,Ripple Current 105°C@100kHz,Surge Voltage,Z 20°C@100kHz
10,820,10,16,19,30.731,82,ESC827M010AH8(1),1050,13,0.064
10,1000,8,20,19,25.226,100,ESC108M010AG6(1),1080,13,0.065
10,1000,10,12.5,19,25.226,100,ESC108M010AH9(1),930,13,0.075
10,1000,10,16,19,25.226,100,ESC108M010AH8(1),990,13,0.085
10,1000,10,20,19,25.226,100,ESC108M010AH4(1),1100,13,0.05
10,1200,10,20,19,21.022,120,ESC128M010AH4(1),1250,13,0.044
10,1500,10,20,19,16.817,150,ESC158M010AH4(1),1450,13,0.039
10,2200,10,20,19,11.478,220,ESC228M010AH4(1),1330,13,0.047
10,2200,10,25,19,11.478,220,ESC228M010AH5(1),1450,13,0.039
10,2200,13,20,19,11.478,220,ESC228M010AL3(1),1600,13,0.038
10,3300,10,30,19,7.66,330,ESC338M010AH6(1),2000,13,0.032
10,3300,13,25,19,7.66,330,ESC338M010AL4(1),2000,13,0.028
10,4700,13,25,19,5.384,470,ESC478M010AL4(1),1860,13,0.028
10,4700,16,25,19,5.384,470,ESC478M010AM7(1),2200,13,0.024
10,6800,16,36,19,3.729,680,ESC688M010AM3(1),2550,13,0.019
10,8200,18,36,19,3.099,820,ESC828M010AN2(1),2800,13,0.019
16,56,5,11,16,378.941,9,ESC566M016AC3(1),100,20,0.63
16,68,5,11,16,312.069,10.9,ESC686M016AC3(1),150,20,0.42
16,100,5,11,16,212.207,16,ESC107M016AC3(1),200,20,0.37
16,120,6.3,11,16,176.839,19.2,ESC127M016AE3(1),250,20,0.32
16,150,6.3,11,16,141.471,24,ESC157M016AE3(1),300,20,0.22
16,220,8,11,16,96.458,35.2,ESC227M016AG3(1),550,20,0.14
16,330,8,11,16,64.305,52.8,ESC337M016AG3(1),550,20,0.12
16,330,8,15,16,64.305,52.8,ESC337M016AG4(1),750,20,0.1
16,330,10,12.5,16,64.305,52.8,ESC337M016AH9(1),688,20,0.08
16,470,8,15,16,45.15,75.2,ESC477M016AG4(1),730,20,0.093
16,470,10,12.5,16,45.15,75.2,ESC477M016AH9(1),800,20,0.085
16,680,10,16,16,31.207,108.8,ESC687M016AH8(1),1050,20,0.064
16,820,10,20,16,25.879,131.2,ESC827M016AH4(1),1100,20,0.044
16,1000,10,16,16,21.247,160,ESC108M016AH8(1),1140,20,0.043
16,1000,10,20,16,21.247,160,ESC108M016AH4(1),1250,20,0.039
16,1200,10,25,16,17.706,192,ESC128M016AH5(1),1310,20,0.042
16,1200,13,20,16,17.706,192,ESC128M016AL3(1),1450,20,0.038
16,1500,10,20,16,14.165,240,ESC158M016AH4(1),1200,20,0.045
16,1500,13,20,16,14.165,240,ESC158M016AL3(1),1600,20,0.034
16,2200,10,30,16,9.67,352,ESC228M016AH6(1),1780,20,0.032
16,2200,13,20,16,9.67,352,ESC228M016AL3(1),1720,20,0.033
16,2200,13,25,16,9.67,352,ESC228M016AL4(1),2000,20,0.028
16,3300,13,40,16,6.455,528,ESC338M016AL7(1),2200,20,0.026
16,3300,16,25,16,6.455,528,ESC338M016AM7(1),2200,20,0.024
16,4700,16,36,16,4.538,752,ESC478M016AM3(1),2550,20,0.019
16,6800,18,36,16,3.144,1088,ESC688M016AN2(1),2800,20,0.019
25,10,5,11,14,1856.809,3,ESC106M025AC3(1),50,32,0.55
25,47,5,11,14,395.066,11.8,ESC476M025AC3(1),150,32,0.45
25,56,5,11,14,331.573,14,ESC566M025AC3(1),150,32,0.42
25,68,6.3,11,14,273.06,17,ESC686M025AE3(1),200,32,0.37
25,100,6.3,11,14,185.681,25,ESC107M025AE3(1),250,32,0.22
25,120,8,11,14,154.734,30,ESC127M025AG3(1),300,32,0.2
25,150,8,11,14,123.787,37.5,ESC157M025AG3(1),550,32,0.14
25,220,8,11,14,84.4,55,ESC227M025AG3(1),550,32,0.12
25,220,8,15,14,84.4,55,ESC227M025AG4(1),750,32,0.1
25,330,8,15,14,56.267,82.5,ESC337M025AG4(1),660,32,0.1
25,330,8,20,14,56.267,82.5,ESC337M025AG6(1),800,32,0.069
25,330,10,16,14,56.267,82.5,ESC337M025AH8(1),900,32,0.086
25,470,8,20,14,39.507,117.5,ESC477M025AG6(1),800,32,0.067
25,470,10,16,14,39.507,117.5,ESC477M025AH8(1),1050,32,0.064
25,470,10,12.5,14,39.507,117.5,ESC477M025AH9(1),760,32,0.086
25,680,10,20,14,27.306,170,ESC687M025AH4(1),1100,32,0.039
25,820,10,20,14,22.644,205,ESC827M025AH4(1),1250,32,0.039
25,1000,10,20,14,18.595,250,ESC108M025AH4(1),1160,32,0.047
25,1000,10,25,14,18.595,250,ESC108M025AH5(1),1310,32,0.042
25,1000,13,20,14,18.595,250,ESC108M025AL3(1),1450,32,0.038
25,1200,13,25,14,15.496,300,ESC128M025AL4(1),1600,32,0.035
25,1500,13,30,14,12.396,375,ESC158M025AL8(1),1750,32,0.032
25,1500,16,25,14,12.396,375,ESC158M025AM7(1),2000,32,0.028
25,2200,13,30,14,8.464,550,ESC228M025AL8(1),1810,32,0.029
25,2200,16,25,14,8.464,550,ESC228M025AM7(1),1660,32,0.032
25,2200,16,32,14,8.464,550,ESC228M025AM2(1),2200,32,0.024
25,3300,16,36,14,5.651,825,ESC338M025AM3(1),2540,32,0.019
25,3300,18,36,14,5.651,825,ESC338M025AN2(1),2550,32,0.019
25,4700,18,36,14,3.973,1175,ESC478M025AN2(1),2800,32,0.019
25,6800,18,36,14,2.754,1700,ESC688M025AN2(1),2800,32,0.019
35,4.7,5,11,12,3386.278,3,ESC475M035AC3(1),115,44,1.2
35,6.8,5,11,12,2340.516,3,ESC685M035AC3(1),120,44,1
35,10,5,11,12,1591.551,3.5,ESC106M035AC3(1),140,44,0.9
35,15,5,11,12,1061.034,5.3,ESC156M035AC3(1),170,44,0.69
35,22,5,11,12,723.432,7.7,ESC226M035AC3(1),190,44,0.6
35,33,5,11,12,482.288,11.6,ESC336M035AC3(1),200,44,0.58
35,47,6.3,11,12,338.628,16.5,ESC476M035AE3(1),250,44,0.039
35,68,6.3,11,12,234.052,23.8,ESC686M035AE3(1),300,44,0.22
35,100,6.3,11,12,159.155,35,ESC107M035AE3(1),300,44,0.18
35,100,8,11,12,159.155,35,ESC107M035AG3(1),450,44,0.14
35,120,8,11,12,132.629,42,ESC127M035AG3(1),550,44,0.13
35,150,8,15,12,106.103,52.5,ESC157M035AG4(1),650,44,0.1
35,220,8,15,12,72.343,77,ESC227M035AG4(1),650,44,0.1
35,220,10,12.5,12,72.343,77,ESC227M035AH9(1),800,44,0.069
35,330,10,16,12,48.229,115.5,ESC337M035AH8(1),900,44,0.052
35,330,10,20,12,48.229,115.5,ESC337M035AH4(1),1050,44,0.044
35,470,10,20,12,33.863,164.5,ESC477M035AH4(1),1300,44,0.039
35,680,13,20,12,23.405,238,ESC687M035AL3(1),1400,44,0.038
35,820,13,20,12,19.409,287,ESC827M035AL3(1),1550,44,0.034
35,1000,13,25,12,15.942,350,ESC108M035AL4(1),1700,44,0.029
35,1200,16,25,12,13.285,420,ESC128M035AM7(1),1900,44,0.028
35,1500,16,25,12,10.628,525,ESC158M035AM7(1),2100,44,0.024
35,2200,16,32,12,7.258,770,ESC228M035AM2(1),2300,44,0.021
35,2200,16,36,12,7.258,770,ESC228M035AM3(1),2550,44,0.019
35,3300,18,36,12,4.847,1155,ESC338M035AN2(1),2800,44,0.019
50,4.7,5,11,10,2821.899,3,ESC475M050AC3(1),115,63,2
50,6.8,5,11,10,1950.43,3.4,ESC685M050AC3(1),120,63,1.85
50,10,5,11,10,1326.292,5,ESC106M050AC3(1),140,63,1.7
50,15,5,11,10,884.195,7.5,ESC156M050AC3(1),180,63,1.2
50,22,5,11,10,602.86,11,ESC226M050AC3(1),200,63,0.7
50,33,6.3,11,10,401.907,16.5,ESC336M050AE3(1),250,63,0.6
50,47,6.3,11,10,282.19,23.5,ESC476M050AE3(1),300,63,0.52
50,68,8,11,10,195.043,34,ESC686M050AG3(1),450,63,0.35
50,100,8,11,10,132.629,50,ESC107M050AG3(1),450,63,0.29
50,100,8,15,10,132.629,50,ESC107M050AG4(1),550,63,0.25
50,120,8,20,10,110.524,60,ESC127M050AG6(1),650,63,0.21
50,150,10,12.5,10,88.419,75,ESC157M050AH9(1),800,63,0.16
50,220,10,16,10,60.286,110,ESC227M050AH8(1),1050,63,0.1
50,220,10,25,10,60.286,110,ESC227M050AH5(1),1050,63,0.068
50,330,10,20,10,40.191,165,ESC337M050AH4(1),1300,63,0.072
50,470,10,20,10,28.219,235,ESC477M050AH4(1),1390,63,0.075
50,470,13,20,10,28.219,235,ESC477M050AL3(1),1400,63,0.06
50,680,13,25,10,19.504,340,ESC687M050AL4(1),1550,63,0.05
50,820,16,25,10,16.174,410,ESC827M050AM7(1),1700,63,0.04
50,1000,16,25,10,13.289,500,ESC108M050AM7(1),1900,63,0.039
50,1200,16,32,10,11.075,600,ESC128M050AM2(1),2100,63,0.025
50,1500,16,36,10,8.86,750,ESC158M050AM3(1),2550,63,0.025
50,2200,18,40,10,6.053,1100,ESC228M050AN3(1),2800,63,0.025
63,4.7,5,11,9,2539.709,3,ESC475M063AC3(1),115,79,2.2
63,6.8,5,11,9,1755.387,4.3,ESC685M063AC3(1),120,79,2
63,10,5,11,9,1193.663,6.3,ESC106M063AC3(1),140,79,1.85
63,15,5,11,9,795.775,9.5,ESC156M063AC3(1),200,79,1.7
63,22,6.3,11,9,542.574,13.9,ESC226M063AE3(1),250,79,1.2
63,33,6.3,11,9,361.716,20.8,ESC336M063AE3(1),300,79,0.9
63,47,6.3,11,9,253.971,29.6,ESC476M063AE3(1),300,79,0.9
63,47,8,11,9,253.971,29.6,ESC476M063AG3(1),450,79,0.7
63,68,8,11,9,175.539,42.8,ESC686M063AG3(1),550,79,0.52
63,100,8,20,9,119.366,63,ESC107M063AG6(1),650,79,0.35
63,120,10,16,9,99.472,75.6,ESC127M063AH8(1),800,79,0.3
63,150,10,16,9,79.578,94.5,ESC157M063AH8(1),1050,79,0.2
63,220,10,20,9,54.257,138.6,ESC227M063AH4(1),1300,79,0.15
63,330,13,20,9,36.172,207.9,ESC337M063AL3(1),1400,79,0.1
63,470,13,25,9,25.397,296.1,ESC477M063AL4(1),1550,79,0.064
63,680,16,25,9,17.554,428.4,ESC687M063AM7(1),1700,79,0.052
63,820,16,32,9,14.557,516.6,ESC827M063AM2(1),1900,79,0.048
63,1000,16,32,9,11.963,630,ESC108M063AM2(1),2100,79,0.042
63,1200,16,36,9,9.969,756,ESC128M063AM3(1),2550,79,0.036
63,1500,18,36,9,7.975,945,ESC158M063AN2(1),2800,79,0.033
100,4.7,5,11,8,2257.519,4.7,ESC475M100AC3(1),120,125,2
100,6.8,5,11,8,1560.344,6.8,ESC685M100AC3(1),140,125,1.85
100,10,6.3,11,8,1061.034,10,ESC106M100AE3(1),200,125,1.5
100,15,6.3,11,8,707.356,15,ESC156M100AE3(1),250,125,1.2
100,22,8,11,8,482.288,22,ESC226M100AG3(1),300,125,0.79
100,33,8,15,8,321.525,33,ESC336M100AG4(1),450,125,0.59
100,47,10,16,8,225.752,47,ESC476M100AH8(1),550,125,0.35
100,68,10,20,8,156.034,68,ESC686M100AH4(1),650,125,0.24
100,100,13,20,8,106.103,100,ESC107M100AL3(1),800,125,0.18
100,120,13,25,8,88.419,120,ESC127M100AL4(1),1050,125,0.15
100,150,13,25,8,70.736,150,ESC157M100AL4(1),1300,125,0.11
100,220,16,25,8,48.229,220,ESC227M100AM7(1),1400,125,0.071
100,330,16,32,8,32.153,330,ESC337M100AM2(1),1550,125,0.049
100,470,18,36,8,22.575,470,ESC477M100AN2(1),1700,125,0.038
